,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48,AirBeam3:94e686f45a48
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Practice 7/4,2025-04-09T16:14:13.000,42.001667219,-87.665836861,75.0,1.0,1.0,1.0,40.0
2,Practice 7/4,2025-04-09T16:14:14.000,42.001671075,-87.665836573,76.0,1.0,1.0,1.0,40.0
3,Practice 7/4,2025-04-09T16:14:15.000,42.001671372,-87.665836634,76.0,1.0,1.0,1.0,40.0
4,Practice 7/4,2025-04-09T16:14:16.000,42.001671673,-87.665836696,76.0,1.0,1.0,1.0,40.0
5,Practice 7/4,2025-04-09T16:14:17.000,42.001671967,-87.665836756,76.0,1.0,1.0,1.0,40.0
6,Practice 7/4,2025-04-09T16:14:18.000,42.001674189,-87.665833507,76.0,1.0,1.0,1.0,40.0
7,Practice 7/4,2025-04-09T16:14:19.000,42.001673508,-87.665834436,76.0,1.0,1.0,1.0,40.0
8,Practice 7/4,2025-04-09T16:14:20.000,42.00167227,-87.665833205,76.0,1.0,1.0,1.0,40.0
9,Practice 7/4,2025-04-09T16:14:21.000,42.001671357,-87.665832774,76.0,1.0,1.0,1.0,40.0
10,Practice 7/4,2025-04-09T16:14:22.000,42.001674033,-87.665830103,76.0,1.0,1.0,1.0,39.0
11,Practice 7/4,2025-04-09T16:14:23.000,42.001677792,-87.665829746,76.0,1.0,1.0,1.0,39.0
12,Practice 7/4,2025-04-09T16:14:24.000,42.001674261,-87.665826971,76.0,1.0,1.0,1.0,39.0
13,Practice 7/4,2025-04-09T16:14:25.000,42.001674261,-87.665826971,76.0,1.0,1.0,1.0,39.0
14,Practice 7/4,2025-04-09T16:14:26.000,42.001682094,-87.665829525,76.0,1.0,1.0,1.0,39.0
15,Practice 7/4,2025-04-09T16:14:27.000,42.001681797,-87.665829364,76.0,0.0,0.0,0.0,39.0
16,Practice 7/4,2025-04-09T16:14:28.000,42.001680183,-87.665828003,76.0,0.0,0.0,0.0,39.0
17,Practice 7/4,2025-04-09T16:14:29.000,42.001677481,-87.665832291,76.0,0.0,0.0,0.0,38.0
18,Practice 7/4,2025-04-09T16:14:30.000,42.001670921,-87.665835406,76.0,0.0,0.0,0.0,38.0
19,Practice 7/4,2025-04-09T16:14:31.000,42.001671128,-87.665838673,76.0,0.0,0.0,0.0,38.0
20,Practice 7/4,2025-04-09T16:14:33.000,42.001672686,-87.665841652,76.0,,,,
21,Practice 7/4,2025-04-09T16:14:33.000,42.001666065,-87.665839168,76.0,,,,
22,Practice 7/4,2025-04-09T16:14:33.000,42.001672686,-87.665841652,,0.0,,,
23,Practice 7/4,2025-04-09T16:14:33.000,42.001666065,-87.665839168,,0.0,,,
24,Practice 7/4,2025-04-09T16:14:33.000,42.001672686,-87.665841652,,,0.0,,
25,Practice 7/4,2025-04-09T16:14:33.000,42.001666065,-87.665839168,,,0.0,,
26,Practice 7/4,2025-04-09T16:14:33.000,42.001672686,-87.665841652,,,,0.0,
27,Practice 7/4,2025-04-09T16:14:33.000,42.001666065,-87.665839168,,,,0.0,
28,Practice 7/4,2025-04-09T16:14:33.000,42.001672686,-87.665841652,,,,,38.0
29,Practice 7/4,2025-04-09T16:14:33.000,42.001666065,-87.665839168,,,,,38.0
30,Practice 7/4,2025-04-09T16:14:35.000,42.001666702,-87.665842694,76.0,0.0,0.0,0.0,38.0
31,Practice 7/4,2025-04-09T16:14:36.000,42.001686,-87.665895467,76.0,1.0,1.0,1.0,38.0
32,Practice 7/4,2025-04-09T16:14:37.000,42.001686204,-87.665892535,76.0,1.0,1.0,1.0,38.0
33,Practice 7/4,2025-04-09T16:14:38.000,42.001687188,-87.665888487,76.0,1.0,1.0,1.0,38.0
34,Practice 7/4,2025-04-09T16:14:39.000,42.001687188,-87.665888487,76.0,0.0,0.0,0.0,38.0
35,Practice 7/4,2025-04-09T16:14:40.000,42.0016918,-87.665887107,76.0,0.0,0.0,0.0,38.0
36,Practice 7/4,2025-04-09T16:14:41.000,42.001697063,-87.665903162,76.0,0.0,0.0,0.0,38.0
37,Practice 7/4,2025-04-09T16:14:42.000,42.001696476,-87.665902111,76.0,0.0,0.0,0.0,37.0
38,Practice 7/4,2025-04-09T16:14:43.000,42.001694209,-87.665901792,76.0,0.0,0.0,0.0,37.0
39,Practice 7/4,2025-04-09T16:14:44.000,42.001691402,-87.66590044,76.0,0.0,0.0,0.0,37.0
40,Practice 7/4,2025-04-09T16:14:45.000,42.001686909,-87.665900563,76.0,0.0,0.0,0.0,37.0
41,Practice 7/4,2025-04-09T16:14:46.000,42.001679125,-87.665902356,76.0,0.0,0.0,0.0,37.0
42,Practice 7/4,2025-04-09T16:14:47.000,42.001687228,-87.665928623,76.0,1.0,1.0,1.0,37.0
43,Practice 7/4,2025-04-09T16:14:48.000,42.001686943,-87.665926535,76.0,1.0,1.0,1.0,37.0
44,Practice 7/4,2025-04-09T16:14:49.000,42.001685656,-87.665922665,76.0,1.0,1.0,1.0,37.0
45,Practice 7/4,2025-04-09T16:14:50.000,42.001686964,-87.665916621,76.0,1.0,1.0,1.0,37.0
46,Practice 7/4,2025-04-09T16:14:51.000,42.001686716,-87.665914417,76.0,0.0,0.0,0.0,37.0
47,Practice 7/4,2025-04-09T16:14:52.000,42.001685166,-87.66591398,76.0,0.0,0.0,0.0,37.0
