,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac,AirBeam3:94e686f462ac
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,4/12 practice ,2025-04-12T10:55:12.000,41.999759058,-87.657827245,72.0,5.0,6.0,6.0,37.0
2,4/12 practice ,2025-04-12T10:55:13.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,37.0
3,4/12 practice ,2025-04-12T10:55:14.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,37.0
4,4/12 practice ,2025-04-12T10:55:15.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,37.0
5,4/12 practice ,2025-04-12T10:55:16.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,36.0
6,4/12 practice ,2025-04-12T10:55:17.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,36.0
7,4/12 practice ,2025-04-12T10:55:18.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,36.0
8,4/12 practice ,2025-04-12T10:55:19.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,36.0
9,4/12 practice ,2025-04-12T10:55:20.000,41.999759058,-87.657827245,72.0,6.0,7.0,7.0,35.0
10,4/12 practice ,2025-04-12T10:55:21.000,41.999739868,-87.657861049,72.0,6.0,7.0,7.0,35.0
11,4/12 practice ,2025-04-12T10:55:22.000,41.999739868,-87.657861049,72.0,6.0,7.0,7.0,35.0
12,4/12 practice ,2025-04-12T10:55:23.000,41.999739868,-87.657861049,72.0,5.0,6.0,6.0,35.0
13,4/12 practice ,2025-04-12T10:55:24.000,41.999739868,-87.657861049,72.0,5.0,6.0,6.0,34.0
14,4/12 practice ,2025-04-12T10:55:25.000,41.999739868,-87.657861049,72.0,5.0,6.0,6.0,34.0
15,4/12 practice ,2025-04-12T10:55:26.000,41.999739868,-87.657861048,72.0,5.0,6.0,6.0,34.0
16,4/12 practice ,2025-04-12T10:55:27.000,41.999740012,-87.657861347,72.0,5.0,6.0,6.0,34.0
17,4/12 practice ,2025-04-12T10:55:28.000,41.999740013,-87.657861347,72.0,5.0,6.0,6.0,33.0
18,4/12 practice ,2025-04-12T10:55:29.000,41.999740013,-87.657861347,72.0,5.0,6.0,6.0,33.0
19,4/12 practice ,2025-04-12T10:55:30.000,41.999740013,-87.657861346,72.0,5.0,6.0,6.0,33.0
20,4/12 practice ,2025-04-12T10:55:31.000,41.999703023,-87.657901618,72.0,5.0,6.0,6.0,33.0
21,4/12 practice ,2025-04-12T10:55:32.000,41.99970737,-87.657889296,72.0,5.0,6.0,6.0,33.0
22,4/12 practice ,2025-04-12T10:55:33.000,41.999752416,-87.657838511,72.0,4.0,5.0,5.0,33.0
23,4/12 practice ,2025-04-12T10:55:34.000,41.999784573,-87.657806833,72.0,4.0,5.0,5.0,33.0
24,4/12 practice ,2025-04-12T10:55:36.000,41.999786262,-87.657804939,72.0,4.0,5.0,5.0,33.0
25,4/12 practice ,2025-04-12T10:55:37.000,41.999786353,-87.657804837,72.0,4.0,5.0,5.0,33.0
26,4/12 practice ,2025-04-12T10:55:38.000,41.999786357,-87.657804832,72.0,4.0,5.0,5.0,33.0
27,4/12 practice ,2025-04-12T10:55:39.000,41.999786357,-87.657804832,72.0,4.0,5.0,5.0,33.0
28,4/12 practice ,2025-04-12T10:55:40.000,41.999786358,-87.657804831,72.0,5.0,6.0,6.0,33.0
29,4/12 practice ,2025-04-12T10:55:41.000,41.999786358,-87.657804831,72.0,5.0,6.0,6.0,33.0
30,4/12 practice ,2025-04-12T10:55:42.000,41.999786358,-87.657804831,72.0,5.0,6.0,6.0,32.0
31,4/12 practice ,2025-04-12T10:55:43.000,41.999786358,-87.657804831,72.0,5.0,6.0,6.0,32.0
